DumbKNN,Dim,N,K,Time
DumbKNN,7,100,5,36676
DumbKNN,7,100,10,39358.7
DumbKNN,7,100,20,43836
DumbKNN,7,100,50,46624
DumbKNN,7,500,1,168425
DumbKNN,7,500,5,172302
DumbKNN,7,500,10,176439
DumbKNN,7,500,20,202628
DumbKNN,7,500,50,224100
DumbKNN,7,1000,1,331836
DumbKNN,7,1000,5,333990
DumbKNN,7,1000,10,337729
DumbKNN,7,1000,20,382101
DumbKNN,7,1000,50,421403
DumbKNN,7,5000,1,1.54143e+06
DumbKNN,7,5000,5,1.54807e+06
DumbKNN,7,5000,10,1.57575e+06
DumbKNN,7,5000,20,1.70472e+06
DumbKNN,7,5000,50,1.87477e+06
DumbKNN,7,10000,1,2.82456e+06
DumbKNN,7,10000,5,2.85499e+06
DumbKNN,7,10000,10,2.95553e+06
DumbKNN,7,10000,20,3.51063e+06
DumbKNN,7,10000,50,3.6566e+06
